date,"song, artist",song,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,popularity_score
5/10/14,"Radioactive, Imagine Dragons",Radioactive,Imagine Dragons,0.448,0.784,9.0,-3.686,1.0,0.0627,0.106,0.000108,0.668,0.236,136.245,186813.0,2.651138353765324
2/18/12,"Give Me Everything, Pitbull",Give Me Everything,Pitbull,0.671,0.939,8.0,-3.206,1.0,0.161,0.191,0.0,0.298,0.53,129.024,252307.0,2.643603133159269
8/15/15,"Shake It Off, Taylor Swift",Shake It Off,Taylor Swift,0.632,0.807,7.0,-5.676,1.0,0.0738,0.0103,1.27e-05,0.29,0.921,160.055,219209.0,2.637130801687764
11/7/20,"Don't Start Now, Dua Lipa",Don't Start Now,Dua Lipa,0.793,0.793,11.0,-4.521,0.0,0.083,0.0123,0.0,0.0951,0.679,123.95,183290.0,2.6100386100386097
4/6/19,"I Like It, Cardi B, Bad Bunny",I Like It,"Cardi B, Bad Bunny",0.816,0.726,5.0,-3.998,0.0,0.129,0.099,0.0,0.372,0.65,136.048,253390.0,2.606212424849699
12/6/14,"Happy, Pharrell Williams",Happy,Pharrell Williams,0.647,0.822,5.0,-4.662,0.0,0.183,0.219,0.0,0.0908,0.962,160.019,232720.0,2.60188457
6/13/15,"All About That Bass, Meghan Trainor",All About That Bass,Meghan Trainor,0.807,0.887,9.0,-3.726,1.0,0.0503,0.0573,2.87e-06,0.124,0.961,134.052,187920.0,2.598823529411765
2/29/20,"Truth Hurts, Lizzo",Truth Hurts,Lizzo,0.715,0.624,4.0,-3.046,0.0,0.114,0.11,0.0,0.123,0.412,158.087,173325.0,2.5865102639296187
10/18/14,"Counting Stars, OneRepublic",Counting Stars,OneRepublic,0.664,0.705,1.0,-4.972,0.0,0.0382,0.0654,0.0,0.118,0.477,122.016,257267.0,2.584684181106764
11/28/20,"Adore You, Harry Styles",Adore You,Harry Styles,0.676,0.771,8.0,-3.675,1.0,0.0483,0.0237,7e-06,0.102,0.569,99.048,207133.0,2.520161290322581
4/16/16,"What Do You Mean?, Justin Bieber",What Do You Mean?,Justin Bieber,0.845,0.567,5.0,-8.118,0.0,0.0956,0.59,0.00142,0.0811,0.793,125.02,205680.0,2.5091383812010446
10/6/18,"Nice For What, Drake",Nice For What,Drake,0.585,0.909,8.0,-6.474,1.0,0.0707,0.0891,9.7e-05,0.119,0.758,93.372,210747.0,2.5
12/1/12,"Payphone, Maroon 5",Payphone,Maroon 5,0.739,0.756,4.0,-4.828,1.0,0.0394,0.0136,0.0,0.37,0.523,110.028,231387.0,2.483204134366925
